,ONS ID,Constituency name,County name,Con2015,Lab2015,Firstparty2015,Con2017,Lab2017,Firstparty2017,Con2019,Lab2019,Firstparty2019,Leave
184,W07000061,Dwyfor Meirionnydd,Gwynedd,22.654169404766023,13.502576695604054,PC,29.118887570844866,20.67022538552788,PC,32.434509489441325,13.358727612937718,PC,47.4
185,E14000674,Ealing Central and Acton,London,42.69265532282784,43.23102919794082,Lab,34.74756965776445,59.69607169961332,Lab,27.062236575619902,51.329209772474314,Lab,29.2
186,E14000675,Ealing North,London,29.723768295196866,55.132962275819416,Lab,28.45228120953614,65.95132911874477,Lab,31.768451169631884,56.488887993391224,Lab,46.3
187,E14000676,"Ealing, Southall",London,21.66847487361788,64.97310773066181,Lab,21.331265920921474,70.26248754014841,Lab,22.725442357344196,60.82383873794917,Lab,41.8
188,E14000677,Easington,Durham,12.93322550831793,61.03280961182994,Lab,22.714772852271476,63.66736332636673,Lab,26.434953589914116,45.46453459792383,Lab,66.0
189,N06000005,East Antrim,Northern Ireland,1.6389527420366004,0.0,DUP,2.5247096452822273,0.0,DUP,2.7991733984595153,0.0,DUP,55.2
190,E14000678,East Devon,Devon,46.42250123362027,10.21803095929967,Con,48.53433142327184,11.356033254943526,Con,50.84356905404772,4.479265837404211,Con,50.4
191,S14000018,East Dunbartonshire,Scotland,8.614750961345703,12.308869894844271,SNP,14.600104245091794,14.538329375880773,LD,14.057815240142556,9.124851501951689,SNP,26.9
192,E14000679,East Ham,London,12.069229298144961,77.57314974182444,Lab,12.785831582293008,83.20943619444493,Lab,15.60921139342462,76.33997217544116,Lab,46.3
193,E14000680,East Hampshire,Hampshire,60.66719587988151,10.106681639528354,Con,63.64243430551545,16.984911926075657,Con,58.78548202829774,11.050180156428508,Con,49.3
194,S14000019,"East Kilbride, Strathaven and Lesmahagow",Scotland,11.77588001123243,28.33049769570029,SNP,25.329932350005546,31.712321171121218,SNP,21.231162468715052,22.70443935601825,SNP,36.9
195,N06000006,East Londonderry,Northern Ireland,1.2156478654145302,0.0,DUP,0.8042895442359249,0.0,DUP,0.0,0.0,DUP,48.0
196,S14000020,East Lothian,Scotland,19.50554105805402,31.011285457688004,SNP,29.60020043666559,36.075020580550486,Lab,26.529147368960743,29.5148086749953,SNP,35.4
197,S14000021,East Renfrewshire,Scotland,21.972501322051823,34.01198660320818,SNP,40.00148870445494,26.696192638356468,Con,35.1373809996929,12.38325776324584,SNP,25.7
198,E14000681,East Surrey,Surrey,57.41404202983797,11.812202556013048,Con,59.64224785906119,19.2490245426752,Con,59.681688725079574,13.816384654045905,Con,54.2
199,E14000682,East Worthing and Shoreham,West Sussex,49.472924766523704,19.513808168664074,Con,48.92595590865448,39.31321422520097,Con,51.02205993073332,36.954148471615724,Con,53.7
200,E14000683,East Yorkshire,Humberside,50.561100998179676,20.689724150347065,Con,58.273407962043144,30.46185781006746,Con,64.40902802781936,21.226477666811956,Con,63.7
201,E14000684,Eastbourne,East Sussex,39.567543047233826,7.830721832649743,Con,44.08742598397771,8.134796238244514,LD,48.88272209525882,6.979359378967606,Con,57.5
202,E14000685,Eastleigh,Hampshire,42.27366903882533,12.93757319160436,Con,50.434706703910614,19.99650837988827,Con,55.4340268945753,12.818164860694239,Con,54.3
203,E14000686,Eddisbury,Cheshire,51.03691501942895,23.637861125190067,Con,56.88341549913287,33.61328163058516,Con,56.814105831492704,21.996941722829472,Con,52.2
204,S14000022,Edinburgh East,Scotland,9.917390473358958,29.905073371700396,SNP,18.56719435700664,34.65753739402155,SNP,13.696538743072256,26.661089616229216,SNP,27.6
205,S14000023,Edinburgh North and Leith,Scotland,16.166735622672736,31.280168252654803,SNP,27.205050219267225,31.153628518885274,SNP,18.535993529253165,22.10332973847398,SNP,21.8
206,S14000024,Edinburgh South,Scotland,17.501927525057827,39.1449904638234,Lab,19.707357859531776,54.91011705685619,Lab,16.4099573715113,47.74591812112926,Lab,22.2
207,S14000025,Edinburgh South West,Scotland,20.239525599782954,27.194682376652068,SNP,33.3630289532294,26.752379024093948,SNP,24.645604342905372,14.344631792983062,SNP,27.9
208,S14000026,Edinburgh West,Scotland,12.27168325494914,11.712056582449232,SNP,21.894118761246332,14.918079363576094,LD,17.02272018777621,8.178534098619185,LD,28.8
209,E14000687,Edmonton,London,24.115825632589868,61.415646620542844,Lab,23.137506296075827,71.4799212418151,Lab,25.289407798517637,64.98847326541237,Lab,45.5
210,E14000688,Ellesmere Port and Neston,Cheshire,34.32918869176279,47.75825539837781,Lab,36.80284261567758,59.162920355719585,Lab,35.36085012103557,53.33976121117631,Lab,58.3
211,E14000689,Elmet and Rothwell,West Yorkshire,48.407356783224046,33.71801304565981,Con,54.33475529878069,37.86738772631084,Con,57.92357234864749,28.12022327179047,Con,56.8
212,E14000690,Eltham,London,36.37880297518363,42.6188103899715,Lab,40.80164662550103,54.442638934026654,Lab,39.71938016434343,47.03701160475177,Lab,51.8
213,E14000691,Enfield North,London,41.368099356265034,43.721958514857924,Lab,36.919592298980746,58.019149593328535,Lab,37.398446170921204,51.80910099889012,Lab,49.2
214,E14000692,"Enfield, Southgate",London,49.384440757880036,39.00942984370907,Con,42.69574573746068,51.70708491971527,Lab,39.074794821896944,48.48760470428971,Lab,37.9
215,E14000693,Epping Forest,Essex,54.76817702845101,16.13439247791197,Con,61.95868370783197,26.032414974694262,Con,64.38290761518262,20.273334924803056,Con,61.0
216,E14000694,Epsom and Ewell,Surrey,58.29060427348932,15.51546121134697,Con,59.58390983025681,25.036277123477202,Con,53.521387361020004,17.200719920606886,Con,47.8
217,E14000695,Erewash,Derbyshire,42.705186043624025,35.28827449194984,Con,52.106225266668005,42.9983326972138,Con,56.45921252099807,34.73183922645143,Con,63.2
218,E14000696,Erith and Thamesmead,London,27.416289274233286,49.766525095619116,Lab,35.01934148974451,57.54093198992444,Lab,38.961917649333074,48.04272182485985,Lab,54.6
