ball,REPUBLICAN_2012,REPUBLICAN_2016,Nohighschool_25plus,Highschool_25plus,Somedegree_25plus,Assocdegree_25plus,Degree_25plus,Under18,18to24,25to34,35to49,50to64,Over65,White,Rural,lessthan50K,50to75k,75to100k,morethan100k,manu_arg,Poverty,Adult obesity raw value,Poor or fair health raw value,Unemployment raw value
46,50.15695303136431,48.190136235232735,7.51875,24.62291666666667,21.099999999999998,8.445833333333333,38.31875,19.158333333333335,22.99791666666667,13.729166666666666,15.379166666666668,16.375,12.345833333333333,86.01041666666667,26.08931223802354,53.39166666666667,17.291666666666668,11.258333333333333,18.052083333333332,11.710416666666667,21.243750000000002,27.395833333333332,15.768749999999999,4.861279004791666
47,71.24165839531453,74.66976828832262,9.125490196078431,31.098039215686274,24.3,11.0921568627451,24.401960784313726,24.023529411764706,7.145098039215686,10.543137254901962,17.398039215686275,22.470588235294116,18.41764705882353,95.80392156862744,99.26301209609028,38.2078431372549,20.70980392156863,15.005882352941176,26.068627450980394,25.282352941176473,7.67843137254902,29.58235294117647,11.462745098039216,3.423220491372549
48,72.2545436371378,73.58354975194163,21.82121212121212,34.5030303030303,21.12121212121212,7.351515151515152,15.212121212121213,27.084848484848482,8.748484848484848,12.306060606060607,18.245454545454546,18.906060606060606,14.672727272727272,83.06363636363636,61.5576512348233,50.65454545454545,19.742424242424242,12.55151515151515,17.024242424242424,26.833333333333332,16.172727272727276,31.151515151515152,18.236363636363635,5.307707283333333
49,73.05841702147346,75.97835873770127,24.934375,33.9703125,21.6203125,6.16875,13.30625,24.325,8.7984375,12.578125,19.1953125,19.2421875,15.859375,81.340625,99.6833905886716,55.2265625,18.846875,11.01875,14.9,25.7828125,17.5609375,30.815625,20.003125,5.21070601296875
50,77.39611107493785,79.87013231336749,16.457575757575757,31.351515151515148,23.006060606060608,8.799999999999999,20.387878787878787,25.433333333333334,7.315151515151515,11.89090909090909,17.318181818181817,21.584848484848482,16.46969696969697,89.33030303030303,100.0,41.28181818181818,19.175757575757576,13.351515151515152,26.196969696969695,34.76969696969697,9.77878787878788,29.98181818181818,14.333333333333334,3.2150213036363637
51,61.167489608611675,65.98143318749355,32.805,34.144999999999996,17.81,4.675,10.57,23.4,8.605,11.815000000000001,19.085,20.2,16.9,82.005,99.8591310251188,71.28,13.794999999999998,6.63,8.3,19.575,31.105,32.22,28.380000000000003,8.4330605175
52,84.375,89.23076923076924,25.4,31.3,32.8,7.5,3.0,7.9,3.9,0.0,18.4,44.8,25.0,96.9,100.0,45.9,10.8,32.4,10.8,41.0,16.4,31.2,24.6,5.0
53,23.63418322076546,25.86039587878123,40.1375,26.0875,16.975,4.85,11.975,30.5625,12.2375,12.925,17.7375,14.15,12.4,79.1375,23.844865670586973,67.45,13.6875,8.375,10.5,12.3875,33.7375,30.8,36.9625,9.85239280125
54,60.46365050282319,63.80528116187113,18.562264150943395,35.50566037735849,21.658490566037734,7.642767295597484,16.624528301886794,23.206289308176103,9.542138364779875,11.945283018867924,18.457861635220127,20.475471698113207,16.360377358490567,68.66226415094339,72.05203168021953,55.98930817610062,17.70062893081761,11.248427672955975,15.069811320754717,17.710062893081762,19.435849056603775,33.32767295597485,19.748427672955973,6.793506780440252
55,54.1364631637136,58.27375071175416,19.95982905982906,38.34700854700855,20.497435897435896,7.243589743589744,13.949572649572648,21.755555555555556,8.629059829059829,11.33162393162393,18.252136752136753,21.864102564102563,18.162393162393162,61.268376068376064,98.01699792386657,59.894017094017094,17.476068376068376,9.94102564102564,12.691452991452993,19.81025641025641,21.330769230769228,34.61282051282051,21.04700854700855,7.5810998632478634
56,56.5201764419558,61.52614833126589,15.265217391304349,35.46521739130435,22.630434782608695,7.51304347826087,19.130434782608695,21.504347826086956,10.730434782608697,12.547826086956523,18.317391304347826,19.621739130434783,17.252173913043478,87.24782608695652,10.323648342295677,62.74782608695652,17.45217391304348,8.934782608695652,10.878260869565217,17.169565217391302,21.530434782608694,30.339130434782607,18.47391304347826,6.354895906956521
57,44.6625527766965,37.213778436317156,12.7,20.700000000000003,19.1,8.0,39.5,9.850000000000001,50.400000000000006,8.0,8.65,12.0,11.1,84.4,2.1786323461001706,64.75,15.55,7.5,12.2,8.05,28.849999999999998,28.3,20.1,7.291040765
58,35.00363802056951,28.68956408226591,7.5249999999999995,20.375,17.6,6.1,48.3875,16.575,26.35,15.8875,14.975,14.6625,11.55,64.6,3.4658515560865615,49.275,16.2,11.4625,23.0125,4.125,21.6875,27.637500000000003,16.9,5.78331766875
